,_strategy,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN
4,EmaCrossStrategy,2020-01-07,2022-09-20,987 days,72.16338880484115,1175220.152,1299375.0307500002,17.5220152,62.75083190480992,6.34872642364015,16.801542305629035,0.3778656928128039,0.5657355952732686,0.4356421723848457,-14.573259491580382,-2.904861288055302,163 days,35 days,30,46.666666666666664,7.958851729426186,-6.281262317663416,0.5425819969373524,66 days,23 days,1.5452010991116039,0.608014142771723,0.7742421006855414
22,DnchnBreakout,2020-01-07,2022-09-20,987 days,58.24508320726173,1138303.9907499999,1316531.12775,13.830399074999988,62.75083190480992,5.06254797228205,14.817652552108616,0.3416565447515253,0.5027099728202223,0.3564608004045414,-14.202257209030133,-2.8332612479358072,209 days,36 days,17,70.58823529411765,10.073572223561044,-6.856409609641578,0.7665074170163155,64 days,33 days,1.5933273634567815,0.8699555220117364,0.6595417103027265
10,SmaCross_WithShortPosition,2020-01-07,2022-09-20,987 days,73.22239031770046,1073120.41975,1232433.1365,7.312041974999989,62.75083190480992,2.7269597465875206,18.556964793444745,0.14695074204973543,0.21461945992173695,0.0972550219914216,-28.03926924028718,-11.05210296411411,612 days,185 days,11,45.45454545454545,20.417756987703495,-7.845950051210981,0.6404178310490893,190 days,65 days,1.3347527010655793,0.9656311510213541,0.2576554355566111
17,"RsiOscillator(upper_bound=50,lower_bound=15,rsi_window=10)_optimize",2020-01-07,2022-09-20,987 days,1.5128593040847202,1059872.8165,1059872.8165,5.987281649999996,62.75083190480992,2.241627668808932,5.382888009400029,0.41643587325138903,0.7601150608440147,0.44643683932703615,-5.021152985913946,-2.4693369466336006,7 days,5 days,1,100.0,6.022045815447163,6.022045815447163,6.022045815447163,13 days,13 days,,6.022045815447163,
24,DnchnBreakout_WithShortPosition,2020-01-07,2022-09-20,987 days,74.28139183055976,1024570.5129999995,1405838.7424999997,2.457051299999945,62.75083190480992,0.9296998428399039,19.423261209113516,0.04786528033735565,0.07276042026310434,0.030348374187664503,-30.634255301155232,-5.440452498173834,747 days,78 days,29,62.06896551724138,10.911669770193367,-12.314648717696564,0.08538340237236319,64 days,24 days,1.1251075473130532,0.25708886406383463,0.06817634071361252
9,"SmaCross(SMA_short=10,SMA_long=15)_optimize",2020-01-07,2022-09-20,987 days,72.76853252647504,1009632.4689999999,1255242.0265000002,0.9632468999999925,62.75083190480992,0.3661400501884904,17.377558120427924,0.02106970655204312,0.02914902785042845,0.015590084586331309,-23.485443466387967,-4.20051011090878,299 days,46 days,26,65.38461538461539,12.649930016230982,-13.92417419704024,0.03794604950415614,64 days,27 days,1.0962706430663398,0.18762326143453217,0.03357869955957265
19,"RsiOscillator_WithShortPosition(upper_bound=50,lower_bound=10,rsi_window=10)_optimize",2020-01-07,2022-09-20,987 days,43.57034795763994,798388.6644999996,1318059.6535,-20.16113355000004,62.75083190480992,-8.225896620949868,14.180364799826528,0.0,0.0,0.0,-39.57832922165237,-9.859359602714779,911 days,189 days,21,19.047619047619047,19.095156329358943,-9.50915316857035,-1.0736561992486626,62 days,19 days,0.5050576562680966,-0.959043947220131,-0.8461101168698878
14,BBsigma_WithShortPosition,2020-01-07,2022-09-20,987 days,70.19667170953102,796343.8967499997,1000000.0,-20.365610325000027,62.75083190480992,-8.315576148690129,18.24668815409227,0.0,0.0,0.0,-31.294873000000003,-31.294873000000003,946 days,946 days,36,25.0,12.327414879170195,-10.064419599934226,-0.6375431746694415,84 days,18 days,0.6450499242303156,-0.5616089599972668,-1.0213358169938764
18,RsiOscillator_WithShortPosition,2020-01-07,2022-09-20,987 days,62.93494704992436,783220.9384999999,1000000.0,-21.677906150000005,62.75083190480992,-8.894543481611382,17.125220441500446,0.0,0.0,0.0,-29.34659125,-29.34659125,963 days,963 days,23,17.391304347826086,9.104602269527273,-8.681294885252022,-1.0690221711737724,84 days,26 days,0.5702259231646571,-0.9755977824270555,-1.1973646263640076
15,"BBsigma_WithShortPosition(n=10,nu=2.0,nd=2.0)_optimize",2020-01-07,2022-09-20,987 days,80.78668683812406,719745.5019999999,1107130.913,-28.02544980000001,62.75083190480992,-11.783295731722932,18.543730350973593,0.0,0.0,0.0,-34.9900275072529,-11.495522677727303,827 days,160 days,14,28.57142857142857,5.936559066372649,-18.769728337086768,-2.3353252637295707,154 days,56 days,0.3607754263626812,-2.1400259527656047,-1.1972844457478897
