Date,High,Low,Open,Close
2009-04-17,828183.935546875,817203.2641601562,819025.5322265625,823951.1572265625
2009-04-20,826376.4819335938,815269.0747070312,823212.060546875,825539.375
2009-04-21,814193.310546875,796680.2783203125,814193.310546875,805798.0322265625
2009-04-22,814268.2861328125,803202.431640625,811921.5502929688,807275.2319335938
2009-04-23,819600.8569335938,799921.4819335938,811866.9897460938,818348.4033203125
2009-04-24,818886.7822265625,804280.0927734375,816969.2138671875,805489.0966796875
2009-04-27,817749.0502929688,799987.1533203125,812458.935546875,807186.435546875
2009-04-28,814799.1674804688,785673.681640625,802740.9252929688,785673.681640625
2009-04-30,818141.181640625,796929.1430664062,796929.1430664062,816614.0283203125
2009-05-01,834102.12890625,816509.5141601562,818517.685546875,830406.7358398438
2009-05-07,868177.2680664062,841760.2075195312,841967.3388671875,868177.2680664062
2009-05-08,875459.74609375,864835.25390625,865004.5361328125,872536.7822265625
2009-05-11,879111.689453125,864204.375,875116.5747070312,874308.193359375
2009-05-12,868538.9575195312,860121.4575195312,865638.125,860121.4575195312
2009-05-13,867600.9497070312,858297.2924804688,860785.5786132812,863995.3466796875
2009-05-14,853198.681640625,837347.939453125,852137.7319335938,841170.068359375
2009-05-15,857667.4072265625,845533.2861328125,846394.4213867188,857014.306640625
2009-05-18,848023.37890625,832290.9716796875,847952.1069335938,836078.8647460938
2009-05-19,862724.375,847944.6997070312,848461.7602539062,859351.8286132812
2009-05-20,869444.5361328125,861323.9575195312,866976.5747070312,864379.1674804688
2009-05-21,858987.3388671875,850067.5927734375,858432.3388671875,856933.9111328125
2009-05-22,857273.37890625,844218.8647460938,846942.9174804688,853387.3852539062
2009-05-25,869755.2783203125,855250.3930664062,855250.3930664062,864597.5
2009-05-26,867629.6752929688,853953.49609375,866190.3247070312,861249.8852539062
2009-05-27,877929.5141601562,870567.4536132812,871962.3608398438,873086.181640625
2009-05-28,878071.064453125,865183.0322265625,865183.0322265625,874253.5424804688
2009-05-29,880831.25,871953.056640625,876734.4213867188,880831.25
2009-06-01,896485.068359375,877941.5283203125,880367.8466796875,895191.875
2009-06-02,905895.9497070312,897648.6352539062,904145.8569335938,897648.6352539062
2009-06-03,904145.8569335938,898979.7680664062,899453.37890625,901104.4677734375
2009-06-04,901270.0463867188,893036.6430664062,896410.99609375,894378.7963867188
2009-06-05,904185.693359375,899020.4174804688,902107.1533203125,903540.9033203125
2009-06-08,917051.50390625,907995.7177734375,909208.4252929688,912570.7641601562
2009-06-09,911669.7924804688,902412.3852539062,908735.7177734375,905280.87890625
2009-06-10,924212.8466796875,907773.681640625,909611.6674804688,924212.8466796875
2009-06-11,927056.318359375,921205.693359375,924350.693359375,923273.0322265625
2009-06-12,940800.87890625,929713.7963867188,933159.4213867188,937563.37890625
2009-06-15,936705.8569335938,927737.060546875,936705.8569335938,928669.4677734375
2009-06-16,919588.75,902141.3891601562,917082.0361328125,902141.3891601562
2009-06-17,910710.556640625,897780.068359375,897780.068359375,910278.5888671875
2009-06-18,904497.3388671875,892609.2822265625,904497.3388671875,897594.0747070312
2009-06-19,908611.7822265625,897607.9858398438,902601.0888671875,905229.0283203125
2009-06-22,914559.5141601562,903111.7358398438,905396.50390625,908929.931640625
2009-06-23,898368.310546875,879809.1430664062,896857.7783203125,883338.9575195312
2009-06-24,890257.939453125,881917.2216796875,887702.1752929688,887104.62890625
2009-06-25,913080.4174804688,889759.306640625,890606.62109375,906137.4072265625
2009-06-26,915102.5,905940.3930664062,911395.0927734375,913658.5424804688
2009-06-29,919804.2822265625,901757.568359375,912630.9252929688,904970.9497070312
2009-06-30,925027.7319335938,915282.8930664062,915431.7602539062,921155.7397460938
2009-07-01,932971.62109375,913345.0,914763.935546875,919443.49609375
2009-07-02,924423.681640625,912932.4536132812,924423.681640625,913543.9111328125
2009-07-03,907986.50390625,896432.314453125,902031.3647460938,907986.50390625
2009-07-06,903887.7783203125,892694.375,900810.3466796875,895480.4858398438
2009-07-07,900434.74609375,889820.37109375,898509.8608398438,892420.5786132812
2009-07-08,884058.5424804688,870238.193359375,883264.8852539062,871419.375
2009-07-09,868042.2216796875,859423.0102539062,864165.5322265625,859423.0102539062
2009-07-10,866738.9111328125,857034.7216796875,863835.2783203125,859073.4252929688
2009-07-13,864307.0825195312,837155.5322265625,854897.0141601562,837155.5322265625
2009-07-14,858805.1391601562,847913.2641601562,848515.4174804688,856717.3852539062
2009-07-15,863361.6674804688,855692.568359375,860939.1430664062,857405.625
2009-07-16,877794.4677734375,861832.7075195312,868943.193359375,864334.814453125
2009-07-17,871406.4575195312,865854.560546875,870782.0825195312,869067.12890625
2009-07-21,892811.806640625,879575.0927734375,879908.056640625,892811.806640625
2009-07-22,901933.2641601562,888811.181640625,891958.0786132812,899392.314453125
2009-07-23,912169.3286132812,897605.185546875,898369.2138671875,905846.9897460938
2009-07-24,920378.7036132812,912407.9858398438,916619.5361328125,919870.8569335938
2009-07-27,941612.060546875,926397.7075195312,926930.4858398438,933201.064453125
2009-07-28,935812.2924804688,929590.7641601562,935812.2924804688,933071.5283203125
2009-07-29,939980.3930664062,928321.689453125,928321.689453125,935474.7216796875
2009-07-30,940695.37109375,931244.6533203125,939403.1713867188,940281.9213867188
2009-07-31,958214.00390625,949010.25390625,950450.4174804688,958006.7822265625
2009-08-03,960202.75390625,954785.0,957858.818359375,957603.4497070312
2009-08-04,969325.1147460938,958159.443359375,965552.0361328125,959688.4033203125
2009-08-05,962564.2138671875,948359.0502929688,962467.1069335938,948359.0502929688
2009-08-06,964417.9174804688,949605.9033203125,949605.9033203125,960898.310546875
2009-08-07,963118.310546875,948036.2036132812,958828.1713867188,963118.310546875
2009-08-10,979146.7358398438,970112.2680664062,974082.3608398438,973494.0283203125
2009-08-11,979330.8325195312,972379.4213867188,972613.4716796875,979155.0463867188
2009-08-12,973687.3388671875,965153.310546875,969988.3325195312,965237.5
2009-08-13,976455.9252929688,970243.6108398438,971998.310546875,972840.1147460938
2009-08-14,983310.1391601562,974897.24609375,975998.0322265625,980253.0322265625
2009-08-17,973194.306640625,949846.4575195312,973194.306640625,949846.4575195312
2009-08-18,955068.0102539062,941751.7138671875,944251.1108398438,951358.7963867188
2009-08-19,955263.2177734375,943047.7075195312,949972.1997070312,943870.0
2009-08-20,962675.2319335938,943894.0283203125,948544.0502929688,960465.439453125
2009-08-21,959707.8247070312,938155.3247070312,959707.8247070312,947033.5180664062
2009-08-24,979667.5,960962.1752929688,961035.25390625,978747.1069335938
2009-08-25,977383.6352539062,968446.3647460938,972690.25390625,971005.8325195312
2009-08-26,986858.4716796875,973702.1533203125,976285.7397460938,984173.1713867188
2009-08-27,978260.5786132812,962076.7822265625,977797.1752929688,968842.1997070312
2009-08-28,976840.7397460938,968625.7641601562,975586.3891601562,974407.9174804688
2009-08-31,995947.5,964210.7861328125,981254.814453125,970559.0502929688
2009-09-02,959972.4072265625,944942.9638671875,959972.4072265625,950942.5463867188
2009-09-03,951901.7822265625,942147.6391601562,947201.806640625,944854.1674804688
2009-09-04,948725.3466796875,938251.5283203125,948725.3466796875,942307.7075195312
2009-09-07,955196.6430664062,950380.1391601562,951691.7602539062,954686.9897460938
2009-09-08,961373.818359375,952796.25,957699.6533203125,961373.818359375
2009-09-09,961098.125,948042.7075195312,956801.4819335938,953872.9174804688
2009-09-10,973205.4174804688,960426.5966796875,960644.8388671875,972514.4677734375
