日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220729,6771,池上通信機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6772,東京コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6775,ＴＢグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6776,天昇電気工業,スタンダード（内国株式）,3200,化学,4,素材・化学 ,-,-
20220729,6777,ｓａｎｔｅｃ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6778,アルチザネットワークス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6786,ＲＶＨ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6803,ティアック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6819,伊豆シャボテンリゾート,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,6822,大井電気,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6824,新コスモス電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6832,アオイ電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6834,精工技研,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6835,アライドテレシスホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6836,ぷらっとホーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6837,京写,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6838,多摩川ホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6840,ＡＫＩＢＡホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6848,東亜ディーケーケー,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6855,日本電子材料,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6858,小野測器,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6862,ミナトホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6863,ニレコ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6864,エヌエフホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6867,リーダー電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6870,日本フェンオール,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6874,協立電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
20220729,6881,キョウデン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6882,三社電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6888,アクモス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20220729,6890,フェローテックホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6894,パルステック工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6897,ツインバード工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6898,トミタ電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6899,ＡＳＴＩ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6901,澤藤電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6907,ジオマテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6912,菊水電子工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6915,千代田インテグレ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6918,アバールデータ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6919,ケル,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6926,岡谷電機産業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6927,ヘリオス　テクノ　ホールディング,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6930,日本アンテナ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6938,双信電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20220729,6942,ソフィアホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20220729,6943,ＮＫＫスイッチズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6946,日本アビオニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6955,ＦＤＫ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6957,芝浦電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6960,フクダ電子,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6964,サンコー,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6969,松尾電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6973,協栄産業,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20220729,6977,日本抵抗器製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6982,リード,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20220729,6993,大黒屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220729,6994,指月電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,6998,日本タングステン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
20220729,7014,名村造船所,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20220729,7018,内海造船,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20220729,7021,ニッチツ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
20220729,7022,サノヤスホールディングス,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
20220729,7040,サン・ライフホールディング,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,7042,アクセスグループ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,7057,エヌ・シー・エヌ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,7058,共栄セキュリティーサービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,7065,ユーピーアール,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20220729,7071,アンビスホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
